Date;"United States";Canada;"United Kingdom";Austria;Germany;France;Netherlands;Italy;Spain;Belgium;Ireland;Portugal;Greece;Norway;Denmark;Sweden;Finland;Hungary;Bulgaria;Romania;Poland;Croatia;Russia;Ukraine;Georgia;Kazakhstan;Azerbaijan;Armenia;Turkey;Morocco;Algeria;Tunisia;Libya;Egypt;Israel;Jordan;Syria;Iraq;Iran;Yemen;Bahrain;Qatar;Oman;"Saudi Arabia";Mexico;Uruguay;Brazil;Chile;Colombia;Peru;Argentina;Venezuela;Ecuador;China;Japan;"Hong Kong";"South Korea";Taiwan;Thailand;Indonesia;Malaysia;Philippines;India;Pakistan;Afghanistan
2025-01-01;0.4;0.1;0.4;1.4;0.7;0.3;0.2;0.3;0.2;0.2;-0.4;-0.1;-0.3;0.7;1.0;0.8;0.8;1.1;-0.3;0.5;0.7;0.4;0.6;0.9;0.9;0.4;0.2;-0.1;0.2;-0.5;-0.2;0.3;-0.5;-0.1;1.3;0.4;0.2;0.2;1.1;1.1;-1.1;0.5;-1.2;-0.6;0.5;0.5;-0.4;-0.8;0.2;-0.2;0.4;0.6;0.1;-0.2;0.0;-0.7;0.7;-0.1;-1.0;0.1;-0.7;-0.6;-0.7;0.0;0.1
2025-01-02;0.4;0.3;0.3;1.5;0.6;0.3;0.4;0.2;0.1;0.3;-0.4;-0.3;-0.4;0.6;0.8;0.7;0.8;1.0;-0.3;0.4;0.6;0.2;0.6;0.9;0.8;0.4;0.2;-0.2;0.1;-0.4;-0.1;0.0;-0.9;-0.2;1.3;0.2;0.1;0.2;0.9;1.0;-1.3;0.6;-1.2;-0.6;0.8;0.6;0.1;-0.9;0.2;-0.3;0.3;0.6;0.0;-0.3;-0.1;-0.8;0.6;-0.2;-1.1;-0.1;-0.8;-0.7;-0.7;-0.2;0.0
2025-01-03;0.3;0.2;0.3;1.3;0.7;0.4;0.4;0.1;0.0;0.2;-0.3;-0.4;-0.3;0.4;0.7;0.6;0.6;1.0;-0.3;0.4;0.4;0.1;0.7;0.8;0.8;0.3;0.2;-0.2;0.1;-0.4;0.1;-0.1;-0.7;-0.2;1.3;0.2;0.2;0.4;0.9;1.2;-1.3;0.8;-1.1;-0.7;0.8;0.5;0.0;-1.0;0.2;-0.5;0.4;0.5;0.0;-0.4;0.0;-0.8;1.0;-0.2;-1.1;-0.2;-0.9;-0.7;-0.8;-0.2;0.0
2025-01-04;0.4;0.1;0.3;1.0;0.9;0.6;0.5;0.1;0.2;0.1;-0.5;-0.3;-0.3;0.4;0.6;0.6;0.5;0.9;-0.3;0.3;0.4;0.4;0.7;0.8;0.9;0.3;0.1;-0.1;0.1;-0.4;0.2;-0.3;-0.6;-0.2;1.4;0.1;0.0;0.7;0.9;1.2;-1.4;0.9;-1.2;-0.7;1.2;0.5;0.1;-0.9;0.1;-0.3;0.2;0.4;0.0;-0.4;0.0;-0.9;1.1;-0.2;-0.9;-0.3;-0.7;-0.6;-0.8;-0.2;0.8
2025-01-05;0.4;0.3;0.3;0.7;0.8;0.6;0.3;0.4;0.3;0.2;-0.7;-0.3;-0.3;0.2;0.5;0.6;0.4;0.9;-0.1;0.2;0.4;0.2;0.8;0.9;0.8;0.0;0.1;0.2;0.1;-0.4;0.2;-0.3;-0.6;-0.2;1.4;0.1;0.0;0.7;1.0;1.2;-1.4;1.0;-1.3;-0.8;0.9;0.2;0.5;-0.4;-0.1;-0.4;0.4;0.3;-0.2;-0.4;0.2;-1.0;1.3;-0.2;-0.7;-0.4;-0.8;-0.3;-0.9;-0.4;0.7
2025-01-06;0.4;0.8;0.2;0.7;0.7;0.5;0.2;0.4;0.4;0.2;-0.6;-0.3;-0.1;0.2;0.5;0.5;0.3;0.8;-0.1;0.2;0.2;0.5;0.8;0.9;0.8;-0.3;-0.1;0.3;0.0;-0.3;0.4;-0.5;-0.9;-0.2;1.4;0.0;0.0;0.5;0.8;1.3;-1.4;1.0;-0.9;-1.0;1.1;0.3;0.4;-0.5;0.1;-0.1;0.4;0.1;-0.1;-0.5;0.2;-1.0;1.4;-0.2;-0.8;-0.6;-0.8;-0.5;-0.8;-0.4;0.6
2025-01-07;0.3;1.0;0.1;0.6;0.5;0.8;0.1;0.3;0.3;0.1;-0.7;-0.4;-0.2;0.1;0.6;0.4;0.2;0.7;-0.3;0.1;0.2;0.5;0.8;0.9;0.7;-0.3;-0.1;0.3;0.0;-0.3;1.5;-0.2;-0.5;-0.3;1.4;0.4;-0.1;0.5;0.6;1.4;-1.3;1.0;-0.4;-0.8;1.2;0.3;0.2;-0.5;0.1;-0.2;0.4;0.0;-0.2;-0.5;0.2;-1.0;1.5;-0.3;-0.8;-0.6;-0.9;-0.5;-0.9;-0.5;0.9
2025-01-08;0.1;0.9;-0.1;0.5;0.4;0.7;0.0;0.1;0.3;0.0;-0.7;-0.4;-0.5;0.1;0.7;0.3;0.2;0.7;-0.4;0.1;0.1;0.3;0.8;0.9;0.6;-0.3;-0.1;0.3;-0.1;-0.6;1.4;-0.3;-0.4;-0.3;1.4;0.5;-0.1;0.5;0.5;1.5;-1.2;1.0;-0.4;-0.9;1.1;0.4;0.2;-0.6;0.3;-0.3;0.3;0.2;-0.2;-0.6;0.1;-1.0;1.4;-0.3;-0.8;-0.7;-1.0;-0.5;-1.1;-0.7;1.0
2025-01-09;0.1;0.9;-0.1;0.3;0.4;0.8;-0.1;0.2;0.3;-0.1;-0.7;-0.2;-0.4;0.3;0.9;0.4;0.2;0.8;-0.4;0.0;0.2;0.4;0.8;0.9;0.7;-0.4;-0.2;0.1;-0.1;-0.7;1.2;-0.5;-0.2;-0.2;1.4;0.4;-0.1;0.4;0.4;1.5;-1.2;1.0;-0.5;-0.5;1.1;0.5;0.2;-0.6;0.5;-0.2;0.4;0.4;0.1;-0.6;-0.1;-1.0;1.2;-0.2;-0.7;-0.8;-1.1;-0.3;-1.2;-0.8;0.6
2025-01-10;0.1;1.0;-0.1;0.3;0.4;0.7;0.0;0.2;0.4;-0.2;-0.9;0.1;-0.4;0.5;1.2;0.4;0.2;0.8;-0.5;0.1;0.3;0.5;0.8;0.9;0.3;-0.2;-0.2;0.0;-0.1;-0.7;1.0;-0.7;-0.4;-0.2;1.4;0.4;-0.2;0.4;0.4;1.7;-1.3;1.0;-0.5;-0.5;1.1;0.6;0.3;-0.5;0.7;-0.1;0.4;0.4;0.1;-0.6;-0.1;-0.9;1.3;-0.3;-0.7;-0.8;-1.3;-0.5;-1.1;-0.8;0.4
2025-01-11;0.1;1.3;0.1;0.7;0.5;0.7;0.0;0.2;0.4;-0.4;-0.7;-0.1;-0.3;0.5;1.4;0.3;0.3;0.7;-0.5;0.2;0.4;0.4;0.9;1.0;0.0;0.1;-0.3;-0.1;-0.2;-0.8;0.9;-0.9;-0.7;-0.2;1.3;0.3;-0.3;0.3;0.4;1.7;-1.4;1.0;-0.6;-0.6;1.4;0.2;0.5;-0.3;0.7;0.0;0.3;0.4;0.0;-0.1;-0.1;0.4;1.3;-0.4;-0.2;-1.0;-1.3;-0.4;-1.1;-0.8;0.2
2025-01-12;0.3;1.4;0.2;0.7;0.7;0.8;-0.1;0.4;0.5;-0.3;-0.8;0.0;-0.2;0.4;1.6;0.6;0.5;0.6;-0.5;0.3;0.4;0.5;0.9;1.0;0.1;0.0;-0.4;-0.1;-0.1;-0.8;0.8;-1.0;-0.6;-0.2;1.3;0.4;-0.4;0.3;0.5;1.5;-0.9;1.1;-0.5;-0.4;1.7;0.0;0.5;-0.5;0.7;0.1;0.2;0.5;0.1;-0.2;-0.1;0.2;1.6;-0.3;-0.2;-1.0;-1.2;-0.2;-1.1;-0.7;0.3
2025-01-13;0.3;1.3;0.2;0.6;0.6;0.6;-0.2;0.4;0.4;-0.4;-0.6;0.0;-0.4;0.3;1.4;0.7;0.5;0.5;-0.5;0.2;0.5;0.5;0.9;1.0;0.1;-0.2;-0.5;-0.2;-0.1;-0.7;0.5;-1.2;-0.5;0.1;1.3;0.4;-0.4;0.2;0.6;1.3;-0.9;1.3;-0.5;-0.4;1.9;-0.3;0.4;-0.5;0.6;-0.1;0.2;0.5;-0.2;-0.2;-0.3;0.1;2.0;-0.4;-0.2;-1.0;-1.3;-0.2;-1.1;-0.7;0.6
2025-01-14;0.3;1.1;0.1;0.4;0.5;0.5;-0.1;0.4;0.3;-0.3;-0.5;-0.2;-0.5;0.2;1.5;0.7;0.7;0.5;-0.4;0.2;0.6;0.6;0.8;1.0;0.3;-0.4;-0.4;-0.3;-0.1;-0.5;0.2;-1.1;-0.6;0.3;1.4;0.2;-0.5;0.3;0.6;1.6;-1.0;1.5;-0.7;-0.4;1.6;-0.4;0.3;-0.3;0.6;-0.2;0.3;0.5;-0.3;-0.2;-0.3;-0.2;2.0;-0.4;-0.3;-1.1;-1.1;-0.2;-1.0;-0.8;1.0
