"Media origin";Date;Afghanistan;Argentina;Australia;Austria;Bahrain;Belgium;Brazil;Canada;Chile;China;Colombia;"Czech Republic";Denmark;Ecuador;Egypt;Finland;France;Georgia;Germany;"Hong Kong";Hungary;India;Indonesia;Iran;Iraq;Israel;Italy;Japan;Jordan;Malaysia;Mexico;Morocco;Netherlands;Norway;Oman;Pakistan;Peru;Philippines;Poland;Qatar;Russia;"Saudi Arabia";"South Korea";Spain;Sweden;Syria;Taiwan;Thailand;Turkey;Ukraine;"United Arab Emirates";"United Kingdom";"United States";Uruguay;Venezuela;Vietnam;Yemen
Foreign;2025-01-01;0.2;1.6;0.5;0.3;-0.5;0.1;0.2;1.3;0.1;0.6;0.7;-0.7;0.2;0.1;2.5;-0.4;-0.7;-0.5;1.2;0.2;0.6;0.4;1.0;-0.4;-1.9;-0.7;0.2;-0.1;-0.6;-0.7;2.1;1.6;1.1;-0.4;-0.8;1.0;0.3;-0.5;0.4;-0.7;-0.4;-0.2;-0.2;1.8;0.0;-1.2;-0.1;1.2;0.3;-1.0;-0.1;-0.3;-0.5;-0.8;0.1;0.3;1.0
Foreign;2025-01-02;0.3;1.6;0.5;0.2;-0.8;0.2;0.1;1.2;0.0;0.7;0.6;-0.6;0.1;0.1;2.5;-0.3;-0.7;-0.6;1.2;0.2;0.6;0.5;1.2;-0.5;-1.9;-0.7;0.1;-0.2;-0.6;-0.6;2.1;1.8;0.9;-0.4;-0.5;1.0;0.4;-0.5;0.4;-0.7;-0.5;-0.2;-0.1;1.8;0.0;-1.2;-0.1;1.3;0.3;-1.0;0.2;-0.3;-0.5;-0.7;0.1;0.3;0.5
Foreign;2025-01-03;0.3;1.6;0.6;-0.1;-0.8;0.3;0.1;1.2;0.0;0.7;0.6;-0.6;0.1;0.2;2.5;-0.2;-0.8;-0.5;1.2;0.2;0.8;0.4;1.3;-0.4;-1.9;-0.7;0.1;-0.2;-0.6;-0.6;2.1;1.7;0.7;-0.4;-0.5;1.0;0.4;-0.3;0.4;-0.7;-0.5;-0.2;-0.1;1.7;0.0;-1.2;0.0;1.2;0.4;-1.0;0.2;-0.3;-0.5;-0.7;0.2;0.3;0.5
Foreign;2025-01-04;0.3;1.5;0.6;-0.2;-0.8;0.3;0.0;1.2;-0.1;0.6;0.6;-0.6;0.1;0.1;2.5;0.0;-0.8;-0.5;1.2;0.2;0.7;0.5;1.5;-0.4;-1.7;-0.7;0.1;-0.3;-0.6;-0.4;2.2;1.7;1.1;-0.3;-0.3;0.9;0.4;-0.2;0.3;-0.7;-0.5;-0.2;-0.1;1.7;-0.1;-1.2;-0.1;1.2;0.5;-1.0;0.2;-0.3;-0.6;-0.6;0.0;0.3;0.1
Foreign;2025-01-05;-0.5;1.4;0.7;-0.2;-0.8;0.4;-0.1;1.1;-0.4;0.6;0.7;-0.6;0.1;0.1;2.5;0.0;-0.7;-0.7;1.2;0.1;0.7;0.5;1.7;-0.4;-1.7;-0.7;0.1;-0.3;-0.5;-0.3;2.2;2.0;1.1;-0.3;-0.3;0.8;0.4;-0.3;0.4;-0.7;-0.5;-0.2;-0.1;1.7;0.0;-1.2;-0.1;1.2;0.5;-1.0;0.2;-0.4;-0.7;-0.9;0.0;0.3;0.1
Foreign;2025-01-06;-0.2;1.4;0.8;-0.3;-0.8;0.4;-0.1;1.2;-0.6;0.6;0.7;-0.5;0.1;0.3;2.5;0.1;-0.7;-0.8;1.2;0.1;0.6;0.5;1.7;-0.3;-1.7;-0.7;0.1;-0.3;-0.4;-0.3;2.2;1.9;1.0;-0.3;-0.3;0.8;0.4;-0.2;0.4;-0.7;-0.5;-0.2;-0.1;1.6;0.0;-1.2;-0.1;1.1;0.5;-1.0;0.1;-0.3;-0.6;-0.9;-0.1;0.3;0.1
Foreign;2025-01-07;-0.2;1.4;0.8;-0.2;-1.0;0.4;-0.1;1.3;-0.5;0.6;0.7;-0.5;0.1;0.1;2.6;0.1;-0.7;-0.8;1.2;0.1;0.5;0.5;1.8;-0.3;-1.7;-0.7;0.0;-0.3;-0.4;-0.4;2.3;2.1;1.2;-0.3;-0.3;0.9;0.4;0.0;0.4;-0.7;-0.5;-0.2;-0.2;1.6;0.0;-1.2;-0.2;1.1;0.5;-1.0;0.1;-0.2;-0.6;-0.9;-0.1;0.3;0.1
Foreign;2025-01-08;0.0;1.2;0.7;-0.2;-1.0;0.4;-0.2;1.4;-0.5;0.5;0.7;-0.5;-0.1;0.0;2.6;0.0;-0.7;-0.8;1.2;0.1;0.5;0.5;1.9;-0.2;-1.7;-0.7;0.0;-0.3;-0.4;-0.3;2.4;2.3;1.4;-0.4;-0.3;0.9;0.6;0.0;0.5;-0.7;-0.5;-0.2;-0.1;1.6;-0.1;-1.2;-0.1;1.1;0.8;-1.0;0.2;-0.1;-0.5;-0.9;-0.1;0.4;0.1
Foreign;2025-01-09;-0.3;1.2;0.7;-0.1;-1.0;0.3;-0.2;1.3;-0.5;0.5;0.6;-0.3;-0.2;0.0;2.5;0.0;-0.7;-0.8;1.2;0.1;0.7;0.5;1.9;-0.2;-1.7;-0.7;0.0;-0.3;-0.4;-0.3;2.4;2.2;1.4;-0.3;-0.3;1.0;0.4;0.1;0.4;-0.7;-0.5;-0.3;-0.1;1.6;0.0;-1.1;-0.1;1.0;0.8;-0.9;0.2;-0.1;-0.6;-0.9;-0.2;0.4;0.1
Foreign;2025-01-10;-0.3;1.2;0.6;-0.2;-1.0;0.4;-0.3;1.4;-0.4;0.4;0.5;-0.3;-0.2;0.2;2.3;-0.1;-0.7;-0.9;1.2;0.1;0.6;0.5;1.9;-0.1;-1.6;-0.7;-0.1;-0.4;-0.4;-0.3;2.3;2.3;1.3;-0.4;-0.3;0.9;0.5;0.1;0.4;-0.7;-0.6;-0.2;-0.1;1.6;0.0;-1.2;-0.1;0.9;0.9;-0.9;0.0;0.0;-0.6;-0.8;-0.3;0.4;0.2
