title,brand,price,$/gb,currency,condition,link,source,itemGroupType,chipset,vram_gb
GIGABYTE GEFORCE RTX 5060 GAMING OC GRAPHICS CARD | GV-N5060GAMING OC-8GD | 8GB,NVIDIA,265.00,33.125,USD,Used,https://www.ebay.com/itm/326829013338?campid=5339111681,Ebay,,RTX 5060,8
Gigabyte AORUS GeForce RTX 3090 Xtreme Waterforce 24GB GDDR6X Graphics Card AIO,NVIDIA,1040.00,43.333333333333336,USD,Used,https://www.ebay.com/itm/357785936461?campid=5339111681,Ebay,,RTX 3090,24
GIGABYTE Gaming GeForce RTX 5060 8GB GDDR7 PCI Express 5.0 Graphics Card GV-N506,NVIDIA,329.99,41.24875,USD,New,https://www.ebay.com/itm/306313286502?campid=5339111681,Ebay,,RTX 5060,8
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,699.99,58.3325,USD,New,https://www.ebay.com/itm/306528742315?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - BRAND NEW & SEALED,NVIDIA,629.99,52.49916666666667,USD,New,https://www.ebay.com/itm/357180566616?campid=5339111681,Ebay,,RTX 5070,12
ASUS Video Card Dual GeForce RTX 4060 Ti White OC Edition 8GB GDDR6,NVIDIA,700.00,87.5,USD,New,https://www.ebay.com/itm/156903555940?campid=5339111681,Ebay,,RTX 4060 Ti,8
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,NVIDIA,774.00,64.5,USD,Open box,https://www.ebay.com/itm/317236012188?campid=5339111681,Ebay,,RTX 3080 Ti,12
PALIT GeForce RTX 3050 StormX 6GB Graphics Card NE63050018JE-1070F Fast Ship,NVIDIA,340.00,56.666666666666664,USD,New,https://www.ebay.com/itm/205192905059?campid=5339111681,Ebay,,RTX 3050,6
Palit GeForce RTX 3060 Dual 12GB GDDR6,NVIDIA,320.00,26.666666666666668,USD,Used,https://www.ebay.com/itm/236124421894?campid=5339111681,Ebay,,RTX 3060,12
"GIGABYTE GeForce RTX 5060 GAMING OC 8G Graphics Card - 8GB GDDR7, 128bit, PCI-E ",NVIDIA,461.20,57.65,USD,New,https://www.ebay.com/itm/197347780096?campid=5339111681,Ebay,,RTX 5060,8
PALIT GeForce RTX 3050 StormX 6GB Graphics Card NE63050018JE-1070F,NVIDIA,245.00,40.833333333333336,USD,Used,https://www.ebay.com/itm/236056822431?campid=5339111681,Ebay,,RTX 3050,6
GIGABYTE AORUS GeForce RTX 3080 Ti XTREME WATERFORCE 12GB GDDR6X Graphics Card,NVIDIA,2200.00,183.33333333333334,USD,New,https://www.ebay.com/itm/373824021752?campid=5339111681,Ebay,,RTX 3080 Ti,12
Palit Nvidia Geforce RTX 3050 6GB StormX Gaming Editing Video Card,NVIDIA,308.42,51.403333333333336,USD,New,https://www.ebay.com/itm/277296963539?campid=5339111681,Ebay,,RTX 3050,6
PALIT GeForce RTX 3050 StormX 6GB Graphics Card NE63050018JE-1070F,NVIDIA,339.99,56.665,USD,New,https://www.ebay.com/itm/387822388978?campid=5339111681,Ebay,,RTX 3050,6
Palit Nvidia GeForce RTX 3050 6GB StormX Video Card Gaming Editing,NVIDIA,310.43,51.73833333333334,USD,New,https://www.ebay.com/itm/326823370624?campid=5339111681,Ebay,,RTX 3050,6
Palit GeForce RTX 3050 StormX 6GB Graphics card GF RTX NE63050018JE-1070F,NVIDIA,328.99,54.83166666666667,USD,New,https://www.ebay.com/itm/406236724696?campid=5339111681,Ebay,,RTX 3050,6
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
NVIDIA GeForce RTX 5070 12GB Founders Edition Graphics Card - IN HAND- SHIPS NOW,NVIDIA,679.99,56.66583333333333,USD,New,https://www.ebay.com/itm/326631796938?campid=5339111681,Ebay,,RTX 5070,12
RTX 3080 10gb pulled from HP Omen 30L,NVIDIA,350.00,35.0,USD,Used,https://www.ebay.com/itm/157352981453?campid=5339111681,Ebay,,RTX 3080,10
Zotac GeForce RTX 4070 Twin Edge OC 12GB GDDR6X Graphics Card 9288-2N714-30Z8,NVIDIA,429.99,35.8325,USD,Used,https://www.ebay.com/itm/197792000088?campid=5339111681,Ebay,,RTX 4070,12
ASUS ROG Strix LC GeForce RTX 3080 Ti OC Edition 12GB w/ Corsair Hydro X Series ,NVIDIA,450.00,37.5,USD,Used,https://www.ebay.com/itm/257161339808?campid=5339111681,Ebay,,RTX 3080 Ti,12
