title,brand,price,$/gb,currency,capacity_gb,speed,form_factor,condition,link,source,itemGroupType
Crucial - DDR5 - kit - 48 GB: 2 x 24 GB - SO-DIMM 262-pin - 5600 MHz/PC5-44800.,Crucial,130.00,2.7083333333333335,USD,48,DDR5,Laptop,New,https://www.ebay.com/itm/357609700680?campid=5339111681,Ebay,
SK Hynix / Framework  32GB (2 X 16GB) DDR5 5600MHz PC5-44800 FRANRM0002X2 SODIMM,SK Hynix,90.00,2.8125,USD,32,DDR5,Laptop,Open box,https://www.ebay.com/itm/277390620472?campid=5339111681,Ebay,
"G.SKILL FLARE X5, DDR5-6000, 32GB, 16GB X 2, DESKTOP RAM, F5-6000J3636F16GX2-FX5",G.Skill,84.99,2.6559375,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/157289377597?campid=5339111681,Ebay,
Crucial - Pro 64GB (2x32GB) DDR5 5600MHz C46 UDIMM Desktop Memory - Black,Crucial,164.99,2.57796875,USD,64,DDR5,Desktop,New,https://www.ebay.com/itm/205117563460?campid=5339111681,Ebay,
NEW CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36 CMH32GX5M2E6000C36,Corsair,99.99,3.1246875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/116772672959?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 (PC5 51200),Corsair,90.00,2.8125,USD,32,DDR5,Desktop,Open box,https://www.ebay.com/itm/388984800429?campid=5339111681,Ebay,
Hynix 32GB DDR5 4800MHz PC5-38400 2Rx8 EC8 RDIMM Server Memory RAM (HMCG88AEBRA),SK Hynix,126.49,3.9528125,USD,32,DDR5,Server,Used,https://www.ebay.com/itm/326522470507?campid=5339111681,Ebay,
SK Hynix 16GB DDR5 SODIMM 1Rx8 PC5-5600B SA0 1010 XT Single 16GB SODIMM RAM,SK Hynix,44.99,2.811875,USD,16,DDR5,Laptop,Used,https://www.ebay.com/itm/226859151815?campid=5339111681,Ebay,
Micron 32GB DDR5-4800 PC5-38400 EC8 RDIMM Server Memory RAM MTC20F2085S1RC48BA1,Micron,142.99,4.4684375,USD,32,DDR5-4800,Server,Used,https://www.ebay.com/itm/326522470506?campid=5339111681,Ebay,
A-Tech 16GB Kit (2x 8GB) DDR5 4800 MHz Desktop PC5-38400 DIMM 288-Pin Memory RAM,A-Tech,37.79,2.361875,USD,16,DDR5,Desktop,New,https://www.ebay.com/itm/325470880728?campid=5339111681,Ebay,
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400 Desktop RAM (New),Corsair,90.00,2.8125,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/187579788483?campid=5339111681,Ebay,
Crucial Pro 48GB DDR5 5600MHz UDIMM Desktop Memory CP48G56C46U5,Crucial,109.00,2.2708333333333335,USD,48,DDR5,Desktop,Used,https://www.ebay.com/itm/286201591684?campid=5339111681,Ebay,
Kingston FURY Beast RGB White 64GB (4x16GB) 5600MT/s CL40 DDR5 XMP DIMM,Kingston,179.99,2.81234375,USD,64,5600MT/s,Desktop,New,https://www.ebay.com/itm/406224511704?campid=5339111681,Ebay,
G.Skill Flare X5 32GB (2x 16GB) DDR5-6000 (PC5-48000) CL36 XMP EXPO Desktop RAM,G.Skill,82.95,2.5921875,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/127219606627?campid=5339111681,Ebay,
G.Skill Trident Z5 RGB Series 32GB (2x16GB) 6000MT/s PC MEMORY DDR5 RAM,G.Skill,79.99,2.4996875,USD,32,6000MT/s,Desktop,Used,https://www.ebay.com/itm/157332456256?campid=5339111681,Ebay,
"G.SKILL FLARE X5, DDR5-6000, 32GB, 16GB X 2, DESKTOP RAM, F5-6000J3636F16GX2-FX5",G.Skill,75.99,2.3746875,USD,32,DDR5-6000,Desktop,New,https://www.ebay.com/itm/267406778389?campid=5339111681,Ebay,
NEW CORSAIR Vengeance RGB DDR5 RAM 32GB 2x16GB 6000MHz CL30 CMH32GX5M2B6000Z30W,Corsair,119.99,3.7496875,USD,32,DDR5,Desktop,New,https://www.ebay.com/itm/127361246504?campid=5339111681,Ebay,
A-Tech 8GB DDR5 4800 MHz PC5-38400 Desktop 288-Pin DIMM Non-ECC Memory RAM 1x 8G,A-Tech,18.36,2.295,USD,8,DDR5,Server,New,https://www.ebay.com/itm/225310017681?campid=5339111681,Ebay,
G.SKILL Trident Z5 Royal Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6400,G.Skill,115.99,3.6246875,USD,32,DDR5,Desktop,Used,https://www.ebay.com/itm/177422386850?campid=5339111681,Ebay,
