date,ram_16gb_median,ram_32gb_median,ram_ddr4_median,ram_ddr5_median
2025-09-18,63.17,129.99,35.99,131.17000000000002
2025-09-19,67.97999999999999,131.99,36.14,129.99
2025-09-20,59.995000000000005,129.95,39.78,124.995
2025-09-21,65.0,125.945,39.95,124.99
2025-09-22,70.0,131.93,39.99,134.95
2025-09-23,70.245,129.0,36.99,134.47
2025-09-24,68.995,134.95,41.95,133.99
2025-09-25,71.88,132.435,39.99,130.35
2025-09-26,70.0,141.49,41.95,134.95
2025-09-27,67.32,144.485,41.16,142.99
2025-09-28,69.99,133.99,41.95,129.0
2025-09-29,70.0,135.99,41.95,134.95
2025-09-30,70.0,141.59,41.95,137.49
2025-10-01,70.445,144.49,41.95,142.53
2025-10-02,75.99,143.9,41.46,135.0
2025-10-03,77.8,144.49,39.91,144.49
2025-10-04,75.0,145.06,41.995000000000005,143.31
2025-10-05,74.99,144.74,41.95,144.49
2025-10-06,69.475,145.14,41.95,144.99
2025-10-07,70.33500000000001,144.49,41.95,145.0
2025-10-08,69.84,145.515,41.95,145.95
2025-10-09,72.32,149.0,41.95,149.99
2025-10-10,67.79,139.0,41.0,134.95
2025-10-11,69.99,147.74,44.975,150.0
2025-10-12,69.99,145.445,45.0,149.95
2025-10-13,75.26,153.0,48.39,159.0
2025-10-14,76.8,153.0,50.75,144.99
2025-10-15,74.99,159.0,49.99,149.5
2025-10-16,72.99,159.0,43.2,144.99
2025-10-17,71.0,165.0,39.99,151.245
2025-10-18,80.5,164.99,45.0,150.0
2025-10-19,80.35499999999999,169.95,46.99,150.0
2025-10-21,74.97,171.60000000000002,49.99,159.95
2025-10-22,79.2,172.9,49.99,158.99
2025-10-23,92.96,180.99,75.0,169.0
2025-10-24,95.965,186.27,86.69,169.06
2025-10-25,92.96,193.0,71.89,174.81
2025-10-26,92.96,189.99,72.48,174.99
2025-10-27,79.2,186.88,45.0,175.74
2025-10-28,83.78,190.99,49.99,180.0
2025-10-29,84.99,189.99,54.875,180.95
2025-10-30,88.0,189.99,54.95,180.95
2025-10-31,97.135,189.99,55.5,184.545
2025-11-01,92.96,195.99,59.195,185.97
2025-11-02,92.08,199.915,59.45,186.96
2025-11-03,92.52,202.99,51.69,190.0
2025-11-04,94.0,209.99,45.0,199.95
2025-11-05,97.41,205.99,49.99,189.99
2025-11-06,99.95,209.97,49.99,200.99
2025-11-07,99.99,205.0,58.78,199.99
2025-11-08,99.99,214.99,68.9,204.0
2025-11-09,100.0,218.5,64.99,204.0
2025-11-10,99.95,221.49,69.5,204.78
2025-11-11,103.5,244.0,52.95,219.06
2025-11-12,102.115,249.995,52.95,220.745
2025-11-13,103.0,249.99,52.95,225.0
2025-11-14,110.0,267.0,52.95,238.49
2025-11-15,109.99,267.0,57.0,236.99
2025-11-16,112.67,267.0,53.26,245.48
2025-11-17,120.0,270.04,79.945,249.99
2025-11-19,134.99,289.24,85.0,270.04
2025-11-20,125.95,275.0,79.99,270.04
2025-11-21,116.89,282.99,89.95,272.99
2025-11-22,109.95,292.475,89.95,282.31
2025-11-23,124.0,282.31,89.95,282.31
2025-11-24,125.0,279.95,89.95,279.99
2025-11-25,125.0,269.995,89.95,273.475
2025-11-26,127.0,285.375,89.95,319.99
2025-11-27,144.995,299.99,79.99,329.99
2025-11-28,133.99,294.58,89.95,323.99
2025-11-29,114.95,299.99,89.99,312.49
2025-11-30,114.95,329.97,93.99,300.0
2025-12-01,119.475,319.99,114.95,299.995
2025-12-02,114.95,310.0,114.95,305.0
2025-12-03,139.99,324.05,114.95,320.0
2025-12-04,149.95,329.99,114.95,324.05
2025-12-05,149.95,349.95,114.95,329.99
2025-12-06,159.645,350.0,114.95,339.99
2025-12-07,149.95,349.975,114.95,335.04
2025-12-08,154.995,350.0,109.95,349.95
2025-12-09,149.95,350.0,114.95,339.0
2025-12-10,149.95,350.0,114.95,331.5
2025-12-11,149.95,349.99,105.895,339.0
2025-12-12,159.625,340.0,89.99,338.82
2025-12-13,159.625,349.95,95.665,339.99
2025-12-14,159.625,349.99,92.6,345.0
2025-12-15,155.85,349.95,93.49,339.99
2025-12-16,159.14,349.95,99.88,348.29
2025-12-17,160.0,350.99,107.335,350.0
2025-12-18,174.995,350.0,97.475,348.15
2025-12-19,190.5,349.99,114.95,349.95
2025-12-20,190.25,350.0,109.99,345.0
2025-12-21,184.99,350.0,114.95,344.15
2025-12-22,179.0,350.0,84.99,349.99
2025-12-23,175.0,350.0,84.95,349.95
2025-12-24,204.99,355.0,114.95,349.95
2025-12-25,214.99,360.0,114.95,350.0
2025-12-26,208.92,360.0,112.99,349.99
2026-01-10,185.0,350.49,84.95,350.0
2026-01-11,185.0,360.0,78.57,350.0
2026-01-12,189.87,369.95,87.01,358.97
2026-01-13,194.995,369.0,85.50999999999999,359.95
2026-01-14,180.0,369.0,89.99,350.0
2026-01-15,195.95,372.99,129.95,368.88
2026-01-16,181.99,369.99,100.0,370.0
2026-01-17,194.97,375.0,99.99,375.0
2026-01-18,195.95,372.955,106.37,375.0
2026-01-19,179.0,360.49,100.0,356.245
2026-01-20,184.0,359.99,104.395,350.0
2026-01-21,190.55,359.95,100.0,359.0
